sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,30,1679,18,0.847,"{'es': 1142, 'en': 466, 'fr': 15, 'it': 13, 'de': 12, 'pt': 10, 'ro': 5, 'ca': 3, 'el': 2, 'sw': 2, 'nl': 2, 'ko': 1, 'sv': 1, 'no': 1, 'hr': 1, 'hu': 1, 'ar': 1, 'da': 1}",es,68.02,8,12
negativo,44,208,5,0.846,"{'es': 152, 'en': 38, 'de': 7, 'it': 6, 'fr': 5}",es,73.08,8,11
positivo,33,1750,12,0.844,"{'es': 1228, 'en': 428, 'it': 30, 'fr': 29, 'pt': 14, 'cs': 5, 'pl': 5, 'de': 4, 'ca': 2, 'id': 2, 'nl': 2, 'ru': 1}",es,70.17,8,12
positivo,36,2002,16,0.841,"{'es': 1313, 'en': 615, 'de': 16, 'it': 13, 'fr': 12, 'nl': 12, 'pl': 5, 'pt': 5, 'no': 2, 'ca': 2, 'hr': 2, 'ru': 1, 'lv': 1, 'fi': 1, 'lt': 1, 'ro': 1}",es,65.58,8,10
negativo,199,156,5,0.839,"{'es': 116, 'en': 23, 'fr': 9, 'it': 7, 'de': 1}",es,74.36,5,8
negativo,182,452,10,0.838,"{'es': 342, 'en': 79, 'fr': 6, 'pt': 6, 'it': 5, 'ro': 3, 'hr': 3, 'pl': 3, 'da': 3, 'de': 2}",es,75.66,8,12
negativo,1,2430,30,0.837,"{'es': 1943, 'en': 304, 'nl': 55, 'it': 13, 'cs': 11, 'de': 11, 'sv': 10, 'pl': 10, 'fr': 8, 'da': 8, 'ro': 7, 'ru': 7, 'pt': 7, 'no': 6, 'ca': 3, 'hu': 3, 'fi': 3, 'sk': 3, 'lt': 2, 'ko': 2, 'zh-tw': 2, 'tr': 2, 'sl': 2, 'zh-cn': 2, 'he': 1, 'vi': 1, 'lv': 1, 'af': 1, 'el': 1, 'ja': 1}",es,79.96,8,13
positivo,34,1554,12,0.835,"{'es': 1060, 'en': 427, 'de': 15, 'fr': 13, 'ca': 12, 'it': 11, 'pl': 8, 'ro': 4, 'nl': 1, 'lt': 1, 'cs': 1, 'uk': 1}",es,68.21,8,11
positivo,32,1617,12,0.834,"{'es': 1115, 'en': 427, 'fr': 23, 'de': 14, 'nl': 14, 'it': 10, 'pt': 9, 'zh-cn': 1, 'tr': 1, 'hr': 1, 'da': 1, 'ca': 1}",es,68.95,8,10
negativo,209,396,8,0.832,"{'es': 297, 'en': 69, 'fr': 11, 'pt': 9, 'it': 3, 'cs': 3, 'nl': 3, 'ko': 1}",es,75.0,8,12
negativo,57,249,4,0.825,"{'es': 170, 'en': 63, 'fr': 11, 'de': 5}",es,68.27,6,9
positivo,76,671,9,0.824,"{'es': 418, 'en': 231, 'pt': 11, 'de': 4, 'ro': 2, 'hr': 2, 'da': 1, 'ru': 1, 'zh-cn': 1}",es,62.3,8,8
negativo,154,583,13,0.823,"{'es': 431, 'en': 120, 'pt': 11, 'nl': 4, 'ru': 3, 'cs': 3, 'de': 2, 'hr': 2, 'tr': 2, 'pl': 2, 'fr': 1, 'it': 1, 'da': 1}",es,73.93,8,11
negativo,6,28,3,0.822,"{'es': 14, 'en': 13, 'fr': 1}",es,50.0,4,5
negativo,204,459,11,0.818,"{'es': 344, 'en': 85, 'nl': 13, 'it': 6, 'fr': 4, 'pt': 2, 'de': 1, 'sv': 1, 'da': 1, 'tr': 1, 'sl': 1}",es,74.95,8,11
negativo,191,89,5,0.815,"{'es': 68, 'en': 12, 'fr': 4, 'it': 3, 'de': 2}",es,76.4,4,7
negativo,168,315,5,0.814,"{'es': 224, 'en': 72, 'it': 8, 'fr': 6, 'de': 5}",es,71.11,7,11
negativo,207,114,5,0.814,"{'es': 84, 'en': 20, 'fr': 7, 'de': 2, 'it': 1}",es,73.68,4,9
negativo,94,400,8,0.812,"{'es': 280, 'en': 101, 'pt': 9, 'no': 3, 'nl': 3, 'fr': 2, 'hr': 1, 'da': 1}",es,70.0,8,10
negativo,4,49,5,0.811,"{'es': 38, 'en': 5, 'fr': 3, 'de': 2, 'it': 1}",es,77.55,4,7
negativo,92,317,5,0.808,"{'es': 220, 'en': 81, 'fr': 6, 'it': 5, 'de': 5}",es,69.4,8,10
negativo,121,720,20,0.808,"{'es': 559, 'en': 120, 'pt': 6, 'nl': 6, 'ca': 6, 'de': 3, 'pl': 3, 'el': 2, 'fr': 2, 'it': 2, 'lv': 2, 'lt': 1, 'fi': 1, 'et': 1, 'sv': 1, 'ro': 1, 'sl': 1, 'no': 1, 'hr': 1, 'so': 1}",es,77.64,8,11
negativo,163,148,5,0.808,"{'es': 106, 'en': 33, 'de': 4, 'fr': 3, 'it': 2}",es,71.62,5,8
negativo,103,862,17,0.8,"{'es': 695, 'en': 101, 'nl': 15, 'fr': 13, 'de': 9, 'it': 6, 'ca': 4, 'da': 3, 'el': 2, 'he': 2, 'no': 2, 'pt': 2, 'ru': 2, 'sv': 2, 'tr': 2, 'ro': 1, 'pl': 1}",es,80.63,8,10
positivo,49,765,14,0.8,"{'es': 565, 'en': 164, 'fr': 8, 'de': 7, 'ro': 5, 'pl': 4, 'pt': 4, 'af': 2, 'nl': 1, 'lv': 1, 'ru': 1, 'bg': 1, 'fi': 1, 'ca': 1}",es,73.86,8,11
negativo,161,57,4,0.799,"{'es': 39, 'en': 15, 'fr': 2, 'it': 1}",es,68.42,4,6
negativo,17,390,8,0.798,"{'es': 292, 'en': 75, 'pt': 8, 'fr': 5, 'no': 3, 'da': 3, 'it': 2, 'cs': 2}",es,74.87,8,10
negativo,145,190,5,0.798,"{'es': 129, 'en': 53, 'fr': 3, 'it': 3, 'de': 2}",es,67.89,7,10
negativo,184,203,5,0.793,"{'es': 139, 'en': 55, 'fr': 5, 'it': 3, 'de': 1}",es,68.47,6,9
