id,ciudad,titulo,rating,precio
book_a0303,Barcelona,Barcelona: Tour en grupo pequeño por la Sagrada Familia de Gaudí,4.39,79.0
book_a0304,Barcelona,La Barcelona Vieja Oculta de Luca: el Tour Gótico y El Born,4.8,16.2
book_a0305,Barcelona,Tour de fantasmas y leyendas de Barcelona,4.5,15.0
book_a0306,Barcelona,Aventura en GoCar por Barcelona,4.39,55.0
book_a0307,Barcelona,Entrada al centro de fotografía KBr,4.6,5.0
book_a0308,Barcelona,Entrada al Big Fun Museum de Barcelona,4.39,25.0
book_a0309,Barcelona,Excursión de un día a PortAventura Park y Ferrari Land desde Barcelona,4.3,88.0
book_a0310,Barcelona,Auténtico Barcelona Clase de cocina: Market Tour & Taller de Paella,4.9,104.65
book_a0311,Barcelona,"Aventura en la Costa Brava: Kayak, Snorkel y Saltos con la Comida",4.9,85.0
book_a0312,Barcelona,Experiencia de cata de vinos en Barcelona,4.8,35.0
book_a0313,Barcelona,Traslado privado del hotel al aeropuerto de Barcelona Salida,4.39,60.0
book_a0314,Barcelona,Exclusivo tour de acceso al Museo Picasso de Barcelona,4.39,35.0
book_a0315,Barcelona,Experiencia completa de navegación en Barcelona,4.8,59.0
book_a0316,Barcelona,Visita guiada en grupo sin colas con opciones,4.3,53.0
book_a0317,Barcelona,Tour por la ciudad y visita a la Sagrada Familia y el parque Güell,4.7,154.0
